Designator,Footprint,Quantity,Value,LCSC Part #
U3,DIP-14_W7.62mm,1,74LS74,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,2k,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,470R,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10k,
U1,DIP-16_W7.62mm,1,SN76489,
C4,C_Radial_D6.3mm_H7.0mm_P2.50mm,1,"100uF/6,3V",
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10k,
K2,TX5112011,1,ONDRA_X1,
C1,C_Disc_D3.0mm_W1.6mm_P2.50mm,1,100n,
K3,DSUB-25_Female_EdgeMount_P2.77mm,1,Printer (optional),
U2,DIP-14_W7.62mm,1,74LS00,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,470R,
D1,D_A-405_P7.62mm_Horizontal,1,KA206,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,12k,
C2,C_Radial_D5.0mm_H7.0mm_P2.00mm,1,"4,7uF/50V",
C3,C_Disc_D3.0mm_W1.6mm_P2.50mm,1,100n,
J1,Jack_3.5mm_Lumberg_1503_07_Horizontal,1,AudioJack,
K1,TX5112011,1,ONDRA_X1,
Y1,Crystal_HC49-4H_Vertical,1,4MHz,
SW1,SW_PUSH_6mm,1,RESET,
SW2,SW_CuK_JS202011CQN_DPDT_Straight,1,MELODIK / TISK,
